City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Dikson,RU,2022-09-17 19:17:24,73.5069,80.5464,32.83,78,30,12.53
142,Petropavlovsk-Kamchatskiy,RU,2022-09-17 19:17:25,53.0452,158.6483,35.78,93,0,6.71
143,Hammerfest,NO,2022-09-17 19:17:25,70.6634,23.6821,45.05,100,75,21.85
144,Komsomolskiy,UZ,2022-09-17 19:17:26,40.4272,71.7189,66.92,48,18,4.61
145,Battle Creek,US,2022-09-17 19:17:26,42.3212,-85.1797,85.05,34,0,13.8
146,Camacha,PT,2022-09-17 19:17:26,33.0833,-16.3333,71.02,88,75,13.8
147,Leshukonskoye,RU,2022-09-17 19:17:27,64.8989,45.7622,50.05,96,100,8.7
148,Touros,BR,2022-09-17 19:17:27,-5.1989,-35.4608,81.54,63,80,14.61
149,Tucumcari,US,2022-09-17 19:17:27,35.1717,-103.725,91.24,22,0,19.57
150,Bar Harbor,US,2022-09-17 19:17:28,44.3876,-68.2039,68.65,46,0,9.22
151,Zhigansk,RU,2022-09-17 19:17:28,66.7697,123.3711,30.22,87,100,9.84
152,Tamandare,BR,2022-09-17 19:17:29,-8.7597,-35.1047,78.42,69,28,8.12
153,Coquimbo,CL,2022-09-17 19:17:29,-29.9533,-71.3436,56.93,71,75,6.91
154,Geraldton,AU,2022-09-17 19:17:29,-28.7667,114.6,48.61,93,2,3.44
155,Mahon,ES,2022-09-17 19:17:30,39.8885,4.2658,70.36,56,20,10.36
156,Arroio Dos Ratos,BR,2022-09-17 19:17:30,-30.0772,-51.7292,71.78,47,28,8.19
157,Coihaique,CL,2022-09-17 19:12:57,-45.5752,-72.0662,50.61,37,75,5.75
158,Sovetskiy,RU,2022-09-17 19:17:30,61.3614,63.5842,51.28,63,100,9.89
159,Solnechnyy,RU,2022-09-17 19:17:31,50.7214,136.6319,46.15,90,100,3.04
160,Saint-Georges,GD,2022-09-17 19:17:31,12.0564,-61.7485,89.28,74,20,11.5
161,Palauig,PH,2022-09-17 19:17:32,15.435,119.9045,79.77,74,66,4.92
162,Faya,SA,2022-09-17 19:17:32,18.3851,42.4509,66.31,50,100,2.84
163,Provideniya,RU,2022-09-17 19:17:32,64.3833,-173.3,45.03,90,100,12.8
164,Labuhan,ID,2022-09-17 19:17:33,-6.8844,112.2051,77.45,78,100,8.52
165,Bodden Town,KY,2022-09-17 19:17:33,19.2833,-81.25,87.8,82,40,9.22
166,Nouna,BF,2022-09-17 19:17:33,12.7333,-3.8667,78.78,76,84,9.93
167,Oriximina,BR,2022-09-17 19:17:34,-1.7656,-55.8661,95.31,37,100,6.58
168,Chuy,UY,2022-09-17 19:17:34,-33.6971,-53.4616,65.44,60,78,14.97
169,Cariamanga,EC,2022-09-17 19:17:35,-4.3333,-79.55,74.17,44,96,4.43
170,Namatanai,PG,2022-09-17 19:17:35,-3.6667,152.4333,77.95,76,88,2.44
171,Kaya,BF,2022-09-17 19:17:35,13.0917,-1.0844,80.89,71,8,6.85
172,Kodiak,US,2022-09-17 19:17:36,57.79,-152.4072,62.11,34,0,17.27
173,Isla Mujeres,MX,2022-09-17 19:17:36,21.2311,-86.731,87.85,70,59,10.31
174,Gat,IL,2022-09-17 19:17:05,31.61,34.7642,79.48,100,0,7.02
175,Nanortalik,GL,2022-09-17 19:18:37,60.1432,-45.2371,46.62,85,100,6.17
176,Saskylakh,RU,2022-09-17 19:18:37,71.9167,114.0833,32.32,97,100,14.2
177,Arrecife,ES,2022-09-17 19:18:37,28.963,-13.5477,76.98,69,40,18.41
178,Rangoon,MM,2022-09-17 19:18:38,16.8053,96.1561,78.76,94,40,2.3
179,Arraial Do Cabo,BR,2022-09-17 19:18:38,-22.9661,-42.0278,71.46,60,40,12.66
180,Karlskrona,SE,2022-09-17 19:18:38,56.1616,15.5866,46.85,80,84,9.33
181,Maltahohe,NA,2022-09-17 19:18:39,-24.8333,16.9833,68.7,32,0,16.31
182,Pimentel,PE,2022-09-17 19:18:39,-6.8367,-79.9342,70.09,64,20,18.41
183,Novikovo,RU,2022-09-17 19:18:39,51.1537,37.8879,56.77,80,100,5.5
184,Bethel,US,2022-09-17 19:14:16,41.3712,-73.414,74.05,58,40,6.91
185,Tatvan,TR,2022-09-17 19:18:40,38.5067,42.2817,65.64,32,0,1.79
186,Kenai,US,2022-09-17 19:18:40,60.5544,-151.2583,55.49,88,40,29.93
187,Kununurra,AU,2022-09-17 19:18:41,-15.7667,128.7333,64.38,82,52,1.14
188,Dunedin,NZ,2022-09-17 19:18:41,-45.8742,170.5036,45.81,83,40,3.0
189,Krasnyye Chetai,RU,2022-09-17 19:18:41,55.6887,46.1386,52.03,61,98,6.8
190,Svencioneliai,LT,2022-09-17 19:18:42,55.1667,26.0,50.38,81,54,8.23
191,Carutapera,BR,2022-09-17 19:18:42,-1.195,-46.02,82.33,71,77,8.61
192,Qaanaaq,GL,2022-09-17 19:18:42,77.484,-69.3632,30.51,64,0,5.53
193,Kieta,PG,2022-09-17 19:18:43,-6.2167,155.6333,78.15,83,99,5.95
194,Altay,CN,2022-09-17 19:18:43,47.8667,88.1167,45.25,37,0,4.65
195,Mahebourg,MU,2022-09-17 19:18:43,-20.4081,57.7,71.89,73,40,18.41
196,Port Said,EG,2022-09-17 19:18:44,31.2565,32.2841,79.57,63,0,10.76
197,Beringovskiy,RU,2022-09-17 19:18:44,63.05,179.3167,40.59,88,100,19.53
198,Gemena,CD,2022-09-17 19:18:45,3.25,19.7667,69.89,99,100,3.15
199,Riverton,US,2022-09-17 19:18:45,40.5219,-111.9391,76.3,45,100,5.99
200,Ampanihy,MG,2022-09-17 19:18:45,-24.7,44.75,73.17,49,15,7.7
201,Boguchany,RU,2022-09-17 19:18:46,58.3814,97.4531,42.78,92,83,1.79
202,Thinadhoo,MV,2022-09-17 19:18:46,0.5333,72.9333,82.17,68,7,6.15
203,Port Blair,IN,2022-09-17 19:18:46,11.6667,92.75,77.04,94,75,2.3
204,Obo,CF,2022-09-17 19:18:47,5.3998,26.4869,68.67,95,100,3.76
205,Cidreira,BR,2022-09-17 19:18:47,-30.1811,-50.2056,63.75,74,4,16.73
206,Umm Kaddadah,SD,2022-09-17 19:18:48,13.6017,26.6876,87.19,45,21,5.48
207,Esperance,AU,2022-09-17 19:18:48,-33.8667,121.9,54.36,81,4,2.13
208,Northam,GB,2022-09-17 19:18:48,51.0333,-4.2167,56.61,72,66,9.42
209,Kupang,ID,2022-09-17 19:18:49,-10.1667,123.5833,75.74,82,100,4.12
210,Bengkulu,ID,2022-09-17 19:18:49,-3.8004,102.2655,74.61,90,95,3.6
211,Casimcea,RO,2022-09-17 19:18:49,44.7333,28.3667,66.31,73,100,13.78
212,Mayo,US,2022-09-17 19:18:50,38.8876,-76.5119,84.11,61,0,13.8
213,Olpad,IN,2022-09-17 19:18:50,21.3333,72.75,78.8,82,11,6.51
214,Liusha,CN,2022-09-17 19:18:51,27.2098,108.59,73.98,71,100,1.32
215,East London,ZA,2022-09-17 19:18:51,-33.0153,27.9116,64.13,87,100,5.44
216,Tulle,FR,2022-09-17 19:18:51,45.3333,1.8333,51.98,60,1,4.43
217,Vila,PT,2022-09-17 19:14:15,42.0304,-8.1588,66.7,64,100,3.13
218,Lac Du Bonnet,CA,2022-09-17 19:15:04,50.2536,-96.0612,60.06,89,100,4.45
219,Qaqortoq,GL,2022-09-17 19:18:52,60.7167,-46.0333,45.68,96,100,3.29
220,Linxia,CN,2022-09-17 19:18:52,35.6003,103.2064,58.78,78,79,2.46
221,Nelson Bay,AU,2022-09-17 19:18:53,-32.7167,152.15,61.0,57,0,14.0
222,Lamu,KE,2022-09-17 19:18:53,-2.2717,40.902,75.42,82,35,13.18
223,Gotsu,JP,2022-09-17 19:19:53,35.0,132.2167,79.11,79,100,9.33
224,Isla Vista,US,2022-09-17 19:19:54,34.4133,-119.861,76.82,72,40,8.05
225,Fallon,US,2022-09-17 19:19:54,39.4735,-118.7774,76.44,14,40,3.44
226,Luwuk,ID,2022-09-17 19:19:55,-0.9516,122.7875,76.57,81,100,4.03
227,Riberalta,BO,2022-09-17 19:19:55,-10.9833,-66.1,93.4,38,91,11.5
228,Olhao,PT,2022-09-17 19:19:55,37.0286,-7.8411,74.28,84,0,5.75
229,Kashin,RU,2022-09-17 19:19:56,57.3592,37.6081,48.63,76,27,9.57
230,Flinders,AU,2022-09-17 19:19:56,-34.5833,150.8552,57.25,67,16,8.63
231,Sampit,ID,2022-09-17 19:19:56,-2.5333,112.95,75.36,96,100,1.23
232,Bandar-E Lengeh,IR,2022-09-17 19:19:57,26.5579,54.8807,87.49,71,0,2.93
233,Ambovombe,MG,2022-09-17 19:19:57,-25.1667,46.0833,69.84,71,1,6.35
234,Goya,AR,2022-09-17 19:19:58,-29.14,-59.2626,85.57,24,87,14.34
235,Samarkand,UZ,2022-09-17 19:15:15,39.6542,66.9597,67.42,40,78,6.91
236,La Rioja,ES,2022-09-17 19:19:58,42.25,-2.5,56.98,46,95,1.39
237,Tambura,SS,2022-09-17 19:19:58,5.6,27.4667,69.35,96,88,3.0
238,Ritchie,ZA,2022-09-17 19:19:59,-29.038,24.6028,58.21,29,100,7.76
239,Pacific Grove,US,2022-09-17 19:19:59,36.6177,-121.9166,70.56,76,100,10.0
