City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Atar,MR,20.5169,-13.0499,90.23,27,71,6.98,broken clouds
108,Yellowknife,CA,62.456,-114.3525,43.32,75,75,4.61,broken clouds
109,Talcahuano,CL,-36.7167,-73.1167,46.08,81,0,11.5,clear sky
110,Vila Velha,BR,-20.3297,-40.2925,69.75,85,75,5.75,broken clouds
111,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,93,20,6.91,few clouds
112,Kavaratti,IN,10.5669,72.642,81.19,75,93,11.9,overcast clouds
113,Montrose,US,38.4166,-108.2673,55.53,37,0,3.74,clear sky
114,Hangu,CN,39.2489,117.7892,77.04,34,1,12.15,clear sky
115,La Rioja,ES,42.25,-2.5,44.38,48,15,5.06,few clouds
116,Roma,US,43.2128,-75.4557,63.95,96,100,4.61,overcast clouds
117,Bara,NG,10.3744,10.7288,71.82,91,100,5.41,overcast clouds
118,Praia,CV,14.9215,-23.5087,77.54,83,40,9.22,scattered clouds
119,Hobyo,SO,5.3505,48.5268,81.16,75,92,18.37,overcast clouds
120,North Bend,US,43.4065,-124.2243,57.92,100,0,3.44,clear sky
121,Aklavik,CA,68.2191,-135.0107,44.71,68,23,4.92,few clouds
122,Tecpan,GT,14.7623,-90.9947,56.89,97,99,4.0,overcast clouds
123,Verkhnyaya Inta,RU,65.9811,60.3094,51.03,85,100,9.93,light rain
124,Cherskiy,RU,68.75,161.3,44.51,38,21,12.08,few clouds
125,Sinnamary,GF,5.3833,-52.95,77.63,88,91,9.37,overcast clouds
126,Hofn,IS,64.2539,-15.2082,49.82,94,98,7.14,overcast clouds
127,Tenenkou,ML,14.4572,-4.9169,78.49,71,100,6.87,light rain
128,Coquimbo,CL,-29.9533,-71.3436,51.53,81,0,4.61,clear sky
129,Tarbagatay,RU,51.4803,107.3602,62.13,37,99,10.11,overcast clouds
130,Kruisfontein,ZA,-34.0033,24.7314,45.88,60,4,5.48,clear sky
131,Chokurdakh,RU,70.6333,147.9167,41.9,45,100,12.66,overcast clouds
132,Nagato,JP,34.3833,131.2,69.22,58,55,24.9,broken clouds
133,Hasaki,JP,35.7333,140.8333,73.29,88,100,22.46,moderate rain
134,Kisanga,TZ,-7.4362,37.7034,78.91,60,14,5.61,few clouds
135,Port-Cartier,CA,50.0334,-66.8654,39.42,68,0,5.73,clear sky
136,Port-Gentil,GA,-0.7193,8.7815,76.96,88,75,6.91,broken clouds
137,Aswan,EG,24.0934,32.907,84.11,28,0,10.4,clear sky
138,Beringovskiy,RU,63.05,179.3167,41.92,64,99,1.41,overcast clouds
139,Guozhen,CN,34.3659,107.359,62.8,82,100,3.33,overcast clouds
140,Dehloran,IR,32.6941,47.2679,96.62,8,1,6.46,clear sky
141,Verkh-Usugli,RU,52.7,115.1667,54.37,49,100,12.28,overcast clouds
142,Margate,GB,51.3813,1.3862,55.9,74,23,3.0,few clouds
143,Hithadhoo,MV,-0.6,73.0833,82.36,72,73,9.33,broken clouds
144,Boromlya,UA,50.6184,34.9704,53.78,64,85,6.62,overcast clouds
145,Lebu,CL,-37.6167,-73.65,43.2,84,5,7.54,clear sky
146,Nsanje,MW,-16.92,35.262,87.87,27,0,3.11,clear sky
147,Shimoda,JP,34.6667,138.95,80.96,79,100,13.42,overcast clouds
148,Cabo San Lucas,MX,22.8909,-109.9124,80.51,85,83,5.01,broken clouds
149,Dohrighat,IN,26.2644,83.5164,90.93,58,66,10.56,broken clouds
150,Sao Filipe,CV,14.8961,-24.4956,78.08,75,52,7.56,broken clouds
151,Jalu,LY,29.0331,21.5482,81.03,39,0,2.71,clear sky
152,Carnarvon,AU,-24.8667,113.6333,69.6,45,0,18.19,clear sky
153,Alice Springs,AU,-23.7,133.8833,92.75,14,75,23.02,broken clouds
154,Paamiut,GL,61.994,-49.6678,39.94,92,63,15.48,broken clouds
155,Denpasar,ID,-8.65,115.2167,83.86,70,75,19.57,broken clouds
156,Safford,US,32.834,-109.7076,81.52,50,0,12.66,clear sky
157,Tupik,RU,54.4253,119.9327,49.96,50,99,8.55,overcast clouds
158,Senanga,ZM,-16.1167,23.2667,76.64,40,66,6.67,broken clouds
159,Carndonagh,IE,55.25,-7.2667,53.22,93,82,5.75,broken clouds
160,Nome,US,64.5011,-165.4064,41.07,93,100,10.36,light rain
161,Arraial Do Cabo,BR,-22.9661,-42.0278,67.84,81,29,23.04,scattered clouds
162,Princeton,US,25.5384,-80.4089,82.99,93,0,4.61,clear sky
163,Winnemucca,US,40.973,-117.7357,64.45,32,0,4.61,clear sky
164,Itaituba,BR,-4.2761,-55.9836,76.08,65,36,1.92,scattered clouds
165,Gravdal,NO,68.1214,13.5031,37.29,81,40,1.14,scattered clouds
166,Saldanha,ZA,-33.0117,17.9442,41.05,81,0,4.36,clear sky
167,Butaritari,KI,3.0707,172.7902,82.58,69,24,8.57,few clouds
168,Umea,SE,63.8284,20.2597,40.93,75,0,11.5,clear sky
169,Faanui,PF,-16.4833,-151.75,78.24,72,8,12.28,light rain
170,Hambantota,LK,6.1241,81.1185,91.74,55,40,14.97,scattered clouds
171,Nabire,ID,-3.3667,135.4833,84.54,70,73,4.23,light rain
172,Taman,RU,45.2117,36.7161,65.44,46,27,6.64,scattered clouds
173,Asau,RO,46.4333,26.4,45.52,77,73,4.85,broken clouds
174,Jinchang,CN,38.4953,102.1739,66.27,44,0,8.08,clear sky
